turn_number,speaker,text,stage
23,Assistant,Let me confirm your details. You are looking for a government job job. Is this correct? Please say yes to continue or tell me what to change.,Confirmation
24,User,Yes yes.,NA
25,Assistant,"Are you looking for a job in Gokak, Belagavi district? Hey are you still on call?",Intent
26,User,Someone told me.,NA
27,Assistant,"Are you looking for a job in Gokak, Belagavi district?",Intent
1,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with Arun Babu More? Hey are you still on call?",Greeting
2,User,"Hello, tell me.",NA
3,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with Arun Babu More?",Greeting
4,User,"Yes, tell me, tell me.",NA
5,User,Hello.,NA
6,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with Arun Babu More?",Greeting
7,User,"Yes okay, tell me, tell me, I will.",NA
8,Assistant,Thank you for confirming. My name is Maya. I am an AI Assistant from UP Skilling. I am calling to help you find jobs where you live. Are you looking for a job right now?,Self Introduction
9,User,"Yes, we are searching.",NA
10,Assistant,Great. Our records show your age is 18. Is that correct or has that changed?,Profile
11,User,"That has changed madam, now twenty-one, twenty-two.",NA
12,Assistant,Have you ever done a job before?,Experience
13,User,"Nothing at all madam, we are still learning, we are studying like this.",NA
14,Assistant,Is BACHELOR OF COMMERCE your highest level of education?,Education
15,User,"Yes ma'am, B.Com.",NA
16,Assistant,"What type of job are you looking for? For example: internship, full-time job, part time job, or something else.",Job Type
17,User,Full-time job.,Job Type
18,Assistant,What job roles are you looking for? You can tell any job you are looking for.,Job Role
19,User,"Banking sector, banking sector and which is this?",NA
20,Assistant,"Do you have any other job-related needs? like training courses, accommodation, or travel help?",Additional Needs
21,User,Bank coaching for banking.,NA
22,Assistant,Let me confirm your details. You are looking for a full-time job Banking sector job. Is this correct? Please say yes to continue or tell me what to change.,Job Type
23,User,Ah yes yes.,NA
24,Assistant,Are you looking for a job in Mudalgi Belagavi?,Intent
25,User,Yes ma'am.,NA
26,Assistant,"Thank you for confirming your job location. There are some jobs available in your area. To know more, please say ���okay.���",Location Area
1,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with Satish Parutagouda Patil?",Greeting
2,User,Yes.,NA
3,Assistant,Thank you for confirming. My name is Maya. I am an AI Assistant from UP Skilling. I am calling to help you find jobs where you live. Are you looking for a job right now?,Self Introduction
4,User,Yes.,NA
5,Assistant,Great. Our records show your age is 18. Is that correct or has that changed?,Profile
6,User,It has changed.,NA
7,Assistant,Okay. What is your correct age?,Profile
8,User,Twenty three.,NA
9,Assistant,Have you ever done a job before?,Experience
10,User,No.,NA
11,Assistant,Is BACHELOR OF ARTS your highest level of education?,Education
12,User,Yes.,NA
13,Assistant,Okay. What kind of job are you looking for?,Job Role
14,User,Hmm.,NA
15,Assistant,What kind of job are you looking for?,Job Role
16,User,I,NA
17,Assistant,What kind of job are you looking for?,Job Role
18,User,Office work.,NA
19,Assistant,What job roles are you looking for? You can tell any job you are looking for.,Job Role
20,User,MR Job Bank,NA
21,Assistant,"Do you have any other job-related needs? Like training courses, accommodation, or travel help?",Additional Needs
22,User,Ah training.,NA
23,Assistant,Let me confirm your details. You are looking for a Office work MR Job Bank job. Is this correct? Please say yes to continue or tell me what to change.,Confirmation
24,User,Continue.,NA
25,Assistant,Are you looking for a job in Ramdurg Belagavi?,Intent
26,User,Yes.,NA
27,Assistant,"Thank you for confirming your job location. There are some jobs available in your area. To know more, please say ���okay.���",Location Area
28,User,Okay.,NA
29,Assistant,"After this call, we will send you a link. You can use it to open the app, search for jobs, and apply. Is it okay if we send you messages on WhatsApp?",WhatsApp Opt-in
30,User,Okay.,NA
31,Assistant,"After this call, we will send you a link. You can use it to open the app, search for jobs, and apply. Is it okay if we send you messages on WhatsApp?",WhatsApp Opt-in
32,User,It's okay.,NA
33,Assistant,Is this your WhatsApp Number?,WhatsApp Number
34,User,Yes.,NA
35,Assistant,Congratulations! You can now see jobs near you and apply. We will send you details on WhatsApp soon. Thank you.,Completion
1,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with Prema Basappa Dasanal?",Greeting
2,User,Yes.,NA
3,Assistant,Thank you for confirming. My name is Maya. I am an AI Assistant from UP Skilling. I am calling to help you find jobs where you live. Are you looking for a job right now?,Self Introduction
4,User,Hello,NA
5,Assistant,Are you looking for a job right now?,Intent
6,User,Yes.,NA
7,Assistant,Great. Our records show your age is 18. Is that correct or has that changed?,Profile
8,User,It has been changed.,NA
9,Assistant,Okay. What is your current age?,Profile
10,User,Twenty two.,NA
11,Assistant,Have you ever done a job before?,Experience
12,User,No.,NA
13,Assistant,Is BACHELOR OF ARTS your highest level of education?,Education
14,User,What is it?,NA
15,Assistant,Is BACHELOR OF ARTS your highest level of education?,Education
16,User,Yes.,NA
17,Assistant,Great. What kind of job are you looking for? Hey are you still on call?,Job Role
18,User,"I am not able to apply for anything, sir.",NA
19,Assistant,I understand. What kind of job are you looking for?,Job Role
20,User,I want a government job.,Intent
21,Assistant,"What type of job are you looking for? For example: internship, full-time job, part time job, or something else.",Job Type
22,User,What else should I say?,NA
23,Assistant,"You can tell me if you are looking for an internship, a full-time job, a part-time job, or something else.",Job Type
24,User,Full time.,Job Type
25,Assistant,"Do you have any other job-related needs? like training courses, accommodation, or travel help?",Additional Needs
26,User,Training courses.,Additional Needs
27,Assistant,Let me confirm your details. You are looking for a full-time job government job job. Is this correct? Please say yes to continue or tell me what to change.,Job Type
28,User,Yes.,NA
29,Assistant,Are you looking for a job in Mudalgi Belagavi?,Intent
30,User,Yes.,NA
31,Assistant,"Thank you for confirming your job location. There are some jobs available in your area. To know more, please say ���okay.���",Location Area
32,User,Okay.,NA
33,Assistant,"After this call, we will send you a link. You can use it to open the app, search for jobs, and apply. Is it okay if we send you messages on WhatsApp?",WhatsApp Opt-in
34,User,Hey Pooja,NA
35,Assistant,"After this call, we will send you a link. You can use it to open the app, search for jobs, and apply. Is it okay if we send you messages on WhatsApp? Hey are you still on call? Hey are you there?",WhatsApp Opt-in
1,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with Umesh Hanamant Jolannavar?",Greeting
2,User,Hello.,NA
3,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with Umesh Hanamant Jolannavar?",Greeting
4,User,Yes.,NA
5,Assistant,Thank you for confirming. My name is Maya. I am an AI Assistant from UP Skilling. I am calling to help you find jobs where you live. Are you looking for a job right now?,Self Introduction
6,User,No.,NA
7,Assistant,I understand. Would you still like to continue this call to learn about jobs near you?,Re-engagement
8,User,Yes.,NA
9,Assistant,Great. Our records show your age is 18. Is that correct or has that changed?,Profile
10,User,"It has changed, it has changed.",NA
11,Assistant,Okay. What is your current age?,Profile
12,User,Twenty-four.,NA
13,Assistant,Have you ever done a job before?,Experience
14,User,No no.,NA
15,Assistant,Is BACHELOR OF COMMERCE your highest level of education? Hey are you still on call?,Education
16,User,Yes.,NA
17,Assistant,Is BACHELOR OF COMMERCE your highest level of education?,Education
18,User,I didn't understand.,Clarification
19,Assistant,Is a Bachelor of Commerce your highest level of education?,Education
20,User,"Yes, yes.",NA
21,Assistant,"What type of job are you looking for? For example: internship, full-time job, part-time job, or something else.",Job Type
22,User,Full-time job in bank.,Job Type
23,Assistant,"What job roles are you looking for? You can tell any job you are looking for. For example, data entry operator, salesperson, electrician, or machine operator.",Job Role
24,User,In the bank.,NA
25,Assistant,"Do you have any other job-related needs? Like training courses, accommodation, or travel help?",Additional Needs
1,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with AJJAPPA PALLED?",Greeting
2,User,"Yes, tell me.",NA
3,Assistant,Thank you for confirming. My name is Maya. I am an AI Assistant from UP Skilling. I am calling to help you find jobs where you live. Are you looking for a job right now?,Self Introduction
4,User,"No no, I am working, I am not searching, I am working.",NA
5,Assistant,I understand. Would you still like to continue this call to learn about jobs near you?,Re-engagement
